No.,Hari,Periode Waktu,Inter-Arrival Time (detik),Service Time (detik),Arrival Time,Service Start Time,Queueing Time (detik),Service End Time
1,Senin,08.00-10.00,140.0,20.0,8:02:20.0,8:02:20.0,0.00,8:02:40.0
2,Senin,08.00-10.00,145.0,18.0,8:04:45.0,8:04:45.0,2:05.0,8:05:03.0
3,Senin,08.00-10.00,150.0,21.5,8:07:35.0,8:07:35.0,2:32.0,8:07:56.5
4,Senin,08.00-10.00,138.0,19.5,8:09:54.5,8:09:54.5,1:58.0,8:10:14.0
5,Senin,08.00-10.00,135.0,23.0,8:12:29.0,8:12:29.0,2:15.0,8:12:52.0
6,Senin,08.00-10.00,155.0,17.5,8:15:27.0,8:15:27.0,2:35.0,8:15:44.5
7,Senin,08.00-10.00,142.0,22.0,8:18:06.5,8:18:06.5,2:22.0,8:18:28.5
8,Senin,08.00-10.00,130.0,19.0,8:20:38.5,8:20:38.5,2:10.0,8:20:57.5
9,Senin,08.00-10.00,158.0,23.5,8:23:35.5,8:23:35.5,2:38.0,8:23:59.0
10,Senin,08.00-10.00,148.0,18.5,8:26:27.0,8:26:27.0,2:28.0,8:26:45.5
11,Senin,08.00-10.00,141.0,20.5,8:28:48.5,8:28:48.5,2:03.0,8:29:09.0
12,Senin,08.00-10.00,152.0,17.0,8:31:41.0,8:31:41.0,2:32.0,8:31:58.0
13,Senin,08.00-10.00,143.0,21.5,8:34:21.0,8:34:21.0,2:23.0,8:34:42.5
14,Senin,08.00-10.00,137.0,19.5,8:36:59.5,8:36:59.5,2:17.0,8:37:19.0
15,Senin,08.00-10.00,156.0,20.0,8:39:55.0,8:39:55.0,2:36.0,8:40:15.0
16,Senin,08.00-10.00,144.0,22.0,8:42:39.0,8:42:39.0,2:24.0,8:43:01.0
17,Senin,08.00-10.00,130.0,18.0,8:45:11.0,8:45:11.0,2:10.0,8:45:29.0
18,Senin,08.00-10.00,148.0,23.0,8:47:47.0,8:47:47.0,2:18.0,8:48:10.0
19,Senin,08.00-10.00,141.0,17.5,8:50:11.0,8:50:11.0,2:01.0,8:50:28.5
20,Senin,08.00-10.00,155.0,22.0,8:53:03.5,8:53:03.5,2:35.0,8:53:25.5
21,Senin,08.00-10.00,142.0,18.0,8:55:47.5,8:55:47.5,2:22.0,8:56:05.5
22,Senin,08.00-10.00,130.0,23.0,8:58:15.5,8:58:15.5,2:10.0,8:58:38.5
23,Senin,08.00-10.00,158.0,17.5,9:01:16.5,9:01:16.5,2:38.0,9:01:34.0
24,Senin,08.00-10.00,148.0,22.0,9:04:02.0,9:04:02.0,2:28.0,9:04:24.0
25,Senin,08.00-10.00,141.0,18.0,9:06:45.0,9:06:45.0,2:21.0,9:07:03.0
26,Senin,08.00-10.00,152.0,23.0,9:09:35.0,9:09:35.0,2:32.0,9:09:58.0
27,Senin,08.00-10.00,143.0,17.5,9:12:21.0,9:12:21.0,2:23.0,9:12:38.5
28,Senin,08.00-10.00,137.0,22.0,9:14:55.5,9:14:55.5,2:17.0,9:15:17.5
29,Senin,08.00-10.00,156.0,18.0,9:17:53.5,9:17:53.5,2:36.0,9:18:11.5
30,Senin,08.00-10.00,144.0,23.0,9:20:37.5,9:20:37.5,2:24.0,9:21:00.5
31,Senin,08.00-10.00,130.0,17.5,9:23:10.5,9:23:10.5,2:10.0,9:23:28.0
32,Senin,08.00-10.00,148.0,22.0,9:25:48.0,9:25:48.0,2:18.0,9:26:10.0
33,Senin,08.00-10.00,141.0,18.0,9:28:30.0,9:28:30.0,2:21.0,9:28:48.0
34,Senin,08.00-10.00,155.0,23.0,9:31:18.0,9:31:18.0,2:35.0,9:31:41.0
35,Senin,08.00-10.00,142.0,17.5,9:34:03.0,9:34:03.0,2:22.0,9:34:20.5
36,Senin,08.00-10.00,130.0,22.0,9:36:33.0,9:36:33.0,2:10.0,9:36:55.0
37,Senin,08.00-10.00,158.0,18.0,9:39:33.0,9:39:33.0,2:38.0,9:39:51.0
38,Senin,08.00-10.00,148.0,23.0,9:42:21.0,9:42:21.0,2:30.0,9:42:44.0
39,Senin,08.00-10.00,141.0,17.5,9:45:05.0,9:45:05.0,2:21.0,9:45:22.5
40,Senin,08.00-10.00,152.0,22.0,9:47:54.5,9:47:54.5,2:49.0,9:48:16.5
41,Senin,08.00-10.00,143.0,18.0,9:50:24.5,9:50:24.5,2:30.0,9:50:42.5
